Date,XST.TO,XFN.TO,XEG.TO,XRE.TO,XIT.TO,XIC.TO,XGD.TO, XUT.TO ,XHC.TO,XQQ.TO,BTC-CAD,,,,,,,,,,
9/21/2015, $49.01 , $29.37 , $10.97 , $15.10 , $12.55 , $21.76 , $7.86 , $19.59 , $41.09 ,35.959999,300.842224,,,,,,,,,,
9/22/2015, $48.75 , $28.87 , $10.78 , $15.04 , $12.35 , $21.31 , $7.50 , $19.39 , $40.57 ,35.43,306.053131,,,,,,,,,,
9/23/2015, $48.48 , $28.75 , $10.55 , $14.89 , $12.31 , $21.16 , $7.50 , $19.46 , $40.54 ,35.419998,306.829071,,,,,,,,,,
9/24/2015, $48.39 , $28.65 , $10.56 , $14.89 , $12.14 , $21.08 , $8.01 , $19.17 , $40.32 ,35.360001,312.814789,,,,,,,,,,
9/25/2015, $48.38 , $28.91 , $10.59 , $15.02 , $12.22 , $21.14 , $7.95 , $19.43 , $39.51 ,34.959999,313.352905,,,,,,,,,,
9/28/2015, $48.12 , $28.56 , $10.35 , $14.86 , $11.85 , $20.60 , $7.58 , $19.09 , $38.27 ,34.07,320.354614,,,,,,,,,,
9/29/2015, $47.68 , $28.78 , $10.49 , $15.11 , $11.80 , $20.63 , $7.60 , $19.13 , $38.19 ,33.700001,317.562958,,,,,,,,,,
9/30/2015, $48.22 , $29.36 , $10.56 , $15.23 , $11.93 , $21.06 , $7.75 , $19.76 , $39.08 ,34.59,314.313873,,,,,,,,,,
10/1/2015, $47.98 , $29.35 , $10.46 , $15.08 , $11.93 , $20.95 , $7.52 , $19.57 , $39.30 ,34.540001,314.586121,,,,,,,,,,
10/2/2015, $48.22 , $29.02 , $10.70 , $15.31 , $12.10 , $21.13 , $8.03 , $19.64 , $39.86 ,35.27,312.016571,,,,,,,,,,
10/5/2015, $49.01 , $29.51 , $11.17 , $15.44 , $12.24 , $21.48 , $8.27 , $20.10 , $40.14 ,35.84,314.541138,,,,,,,,,,
10/6/2015, $48.40 , $29.75 , $11.57 , $15.13 , $12.09 , $21.63 , $8.50 , $19.81 , $39.42 ,35.619999,320.890778,,,,,,,,,,
10/7/2015, $48.15 , $30.08 , $11.92 , $15.36 , $12.19 , $21.97 , $8.55 , $20.03 , $39.69 ,35.650002,317.390411,,,,,,,,,,
