Date,Price,Ticker
9/21/2015,49.01,XST.TO
9/21/2015,29.37,XFN.TO
9/21/2015,10.97,XEG.TO
9/21/2015,15.10,XRE.TO
9/21/2015,12.55,XIT.TO
9/21/2015,21.76,XIC.TO
9/21/2015,7.86,XGD.TO
9/21/2015,19.59, XUT.TO 
9/21/2015,41.09,XHC.TO
9/21/2015,35.96,XQQ.TO
9/21/2016,54.30,XST.TO
9/21/2016,31.87,XFN.TO
9/21/2016,12.03,XEG.TO
9/21/2016,16.20,XRE.TO
9/21/2016,13.72,XIT.TO
9/21/2016,23.25,XIC.TO
9/21/2016,15.75,XGD.TO
9/21/2016,22.07,XUT.TO
9/21/2016,40.55,XHC.TO
9/21/2016,40.01,XQQ.TO
9/21/2017,53.43,XST.TO
9/21/2017,36.23,XFN.TO
9/21/2017,12.02,XEG.TO
9/21/2017,15.91,XRE.TO
9/21/2017,15.16,XIT.TO
9/21/2017,24.59,XIC.TO
9/21/2017,12.20,XGD.TO
9/21/2017,22.53,XUT.TO
9/21/2017,44.21,XHC.TO
9/21/2017,48.69,XQQ.TO
9/21/2018,54.16,XST.TO
9/21/2018,38.85,XFN.TO
9/21/2018,12.04,XEG.TO
9/21/2018,17.91,XRE.TO
9/21/2018,19.85,XIT.TO
9/21/2018,25.67,XIC.TO
9/21/2018,9.77,XGD.TO
9/21/2018,20.98,XUT.TO
9/21/2018,49.35,XHC.TO
9/21/2018,61.23,XQQ.TO
9/20/2019,66.19,XST.TO
9/20/2019,39.56,XFN.TO
9/20/2019,9.19,XEG.TO
9/20/2019,20.02,XRE.TO
9/20/2019,26.76,XIT.TO
9/20/2019,27.02,XIC.TO
9/20/2019,15.65,XGD.TO
9/20/2019,26.04,XUT.TO
9/20/2019,49.03,XHC.TO
9/20/2019,62.64,XQQ.TO
9/18/2020,65.62,XST.TO
9/18/2020,33.86,XFN.TO
9/18/2020,4.60,XEG.TO
9/18/2020,14.81,XRE.TO
9/18/2020,38.06,XIT.TO
9/18/2020,25.87,XIC.TO
9/18/2020,23.55,XGD.TO
9/18/2020,27.21,XUT.TO
9/18/2020,55.76,XHC.TO
9/18/2020,85.91,XQQ.TO
