Date,Ticker,Price
9/21/2015,XST.TO,49.01
9/22/2015,XST.TO,48.75
9/23/2015,XST.TO,48.48
9/24/2015,XST.TO,48.39
9/25/2015,XST.TO,48.38
9/28/2015,XST.TO,48.12
9/29/2015,XST.TO,47.68
9/30/2015,XST.TO,48.22
10/1/2015,XST.TO,47.98
10/2/2015,XST.TO,48.22
10/5/2015,XST.TO,49.01
10/6/2015,XST.TO,48.4
10/7/2015,XST.TO,48.15
10/8/2015,XST.TO,48.23
10/9/2015,XST.TO,48
10/13/2015,XST.TO,48.9
10/14/2015,XST.TO,48.35
10/15/2015,XST.TO,48.67
10/16/2015,XST.TO,48.6
10/19/2015,XST.TO,49.01
10/20/2015,XST.TO,49.15
10/21/2015,XST.TO,49.6
10/22/2015,XST.TO,50.25
10/23/2015,XST.TO,50.09
10/26/2015,XST.TO,49.71
10/27/2015,XST.TO,49
10/28/2015,XST.TO,49.04
10/29/2015,XST.TO,48.45
10/30/2015,XST.TO,48.09
11/2/2015,XST.TO,47.75
11/3/2015,XST.TO,48.36
11/4/2015,XST.TO,48.89
11/5/2015,XST.TO,49.05
11/6/2015,XST.TO,48.52
11/9/2015,XST.TO,48.17
11/10/2015,XST.TO,48.01
11/11/2015,XST.TO,47.95
11/12/2015,XST.TO,46.93
11/13/2015,XST.TO,46.62
11/16/2015,XST.TO,48.18
11/17/2015,XST.TO,48.5
11/18/2015,XST.TO,49.2
11/19/2015,XST.TO,48.94
11/20/2015,XST.TO,49
11/23/2015,XST.TO,49.25
11/24/2015,XST.TO,49.5
11/25/2015,XST.TO,50.13
11/26/2015,XST.TO,49.86
11/27/2015,XST.TO,49.33
11/30/2015,XST.TO,49.1
12/1/2015,XST.TO,49.69
12/2/2015,XST.TO,49.25
12/3/2015,XST.TO,48.75
12/4/2015,XST.TO,49
12/7/2015,XST.TO,49.24
12/8/2015,XST.TO,48.39
12/9/2015,XST.TO,48.33
12/10/2015,XST.TO,48.82
12/11/2015,XST.TO,48.1
12/14/2015,XST.TO,48.38
12/15/2015,XST.TO,48.93
12/16/2015,XST.TO,49.32
12/17/2015,XST.TO,48.92
12/18/2015,XST.TO,48.99
12/21/2015,XST.TO,49.09
12/22/2015,XST.TO,49.39
12/23/2015,XST.TO,49.32
12/24/2015,XST.TO,49.62
12/29/2015,XST.TO,50.05
12/30/2015,XST.TO,49.78
12/31/2015,XST.TO,48.72
1/4/2016,XST.TO,48.12
1/5/2016,XST.TO,48
1/6/2016,XST.TO,48.47
1/7/2016,XST.TO,48.17
1/8/2016,XST.TO,48.28
1/11/2016,XST.TO,47.68
1/12/2016,XST.TO,47.94
1/13/2016,XST.TO,47.53
1/14/2016,XST.TO,48.47
1/15/2016,XST.TO,48
1/18/2016,XST.TO,47.01
1/19/2016,XST.TO,47.54
1/20/2016,XST.TO,46.98
1/21/2016,XST.TO,48
1/22/2016,XST.TO,48.98
1/25/2016,XST.TO,49.1
1/26/2016,XST.TO,48.98
1/27/2016,XST.TO,48.68
1/28/2016,XST.TO,49.15
1/29/2016,XST.TO,49.8
2/1/2016,XST.TO,49.38
2/2/2016,XST.TO,49.1
2/3/2016,XST.TO,49.41
2/4/2016,XST.TO,49.14
2/5/2016,XST.TO,49.03
2/8/2016,XST.TO,48.07
2/9/2016,XST.TO,48.27
2/10/2016,XST.TO,48.24
2/11/2016,XST.TO,47.59
2/12/2016,XST.TO,48.1
2/16/2016,XST.TO,48.85
2/17/2016,XST.TO,49.78
2/18/2016,XST.TO,50.43
2/19/2016,XST.TO,50.49
2/22/2016,XST.TO,50.7
2/23/2016,XST.TO,50.86
2/24/2016,XST.TO,51.1
2/25/2016,XST.TO,51.35
