Date,Ticker,Price
9/21/2015,XST.TO,49.01
9/21/2015,XFN.TO,29.37
9/21/2015,XEG.TO,10.97
9/21/2015,XRE.TO,15.1
9/21/2015,XIT.TO,12.55
9/21/2015,XIC.TO,21.76
9/21/2015,XGD.TO,7.86
9/21/2015,XUT.TO,19.59
9/21/2015,XHC.TO,41.09
9/21/2015,XQQ.TO,35.96
9/22/2015,XST.TO,48.75
9/22/2015,XFN.TO,28.87
9/22/2015,XEG.TO,10.78
9/22/2015,XRE.TO,15.04
9/22/2015,XIT.TO,12.35
9/22/2015,XIC.TO,21.31
9/22/2015,XGD.TO,7.5
9/22/2015,XUT.TO,19.39
9/22/2015,XHC.TO,40.57
9/22/2015,XQQ.TO,35.43
9/23/2015,XST.TO,48.48
9/23/2015,XFN.TO,28.75
9/23/2015,XEG.TO,10.55
9/23/2015,XRE.TO,14.89
9/23/2015,XIT.TO,12.31
9/23/2015,XIC.TO,21.16
9/23/2015,XGD.TO,7.5
9/23/2015,XUT.TO,19.46
9/23/2015,XHC.TO,40.54
9/23/2015,XQQ.TO,35.42
9/24/2015,XST.TO,48.39
9/24/2015,XFN.TO,28.65
9/24/2015,XEG.TO,10.56
9/24/2015,XRE.TO,14.89
9/24/2015,XIT.TO,12.14
9/24/2015,XIC.TO,21.08
9/24/2015,XGD.TO,8.01
9/24/2015,XUT.TO,19.17
9/24/2015,XHC.TO,40.32
9/24/2015,XQQ.TO,35.36
9/25/2015,XST.TO,48.38
9/25/2015,XFN.TO,28.91
9/25/2015,XEG.TO,10.59
9/25/2015,XRE.TO,15.02
9/25/2015,XIT.TO,12.22
9/25/2015,XIC.TO,21.14
9/25/2015,XGD.TO,7.95
9/25/2015,XUT.TO,19.43
9/25/2015,XHC.TO,39.51
9/25/2015,XQQ.TO,34.96
9/28/2015,XST.TO,48.12
9/28/2015,XFN.TO,28.56
9/28/2015,XEG.TO,10.35
9/28/2015,XRE.TO,14.86
9/28/2015,XIT.TO,11.85
9/28/2015,XIC.TO,20.6
9/28/2015,XGD.TO,7.58
9/28/2015,XUT.TO,19.09
9/28/2015,XHC.TO,38.27
9/28/2015,XQQ.TO,34.07
9/29/2015,XST.TO,47.68
