Date,Ticker,Price
9/21/2015,XUT,19.59
9/22/2015,XUT,19.39
9/23/2015,XUT,19.46
9/24/2015,XUT,19.17
9/25/2015,XUT,19.43
9/28/2015,XUT,19.09
9/29/2015,XUT,19.13
9/30/2015,XUT,19.76
10/1/2015,XUT,19.57
10/2/2015,XUT,19.64
10/5/2015,XUT,20.1
10/6/2015,XUT,19.81
10/7/2015,XUT,20.03
10/8/2015,XUT,20.02
10/9/2015,XUT,20.2
10/13/2015,XUT,20.13
10/14/2015,XUT,19.82
10/15/2015,XUT,19.87
10/16/2015,XUT,19.88
10/19/2015,XUT,19.99
10/20/2015,XUT,20.23
10/21/2015,XUT,20.18
10/22/2015,XUT,20.45
10/23/2015,XUT,20.23
10/26/2015,XUT,19.94
10/27/2015,XUT,19.61
10/28/2015,XUT,19.69
10/29/2015,XUT,19.76
10/30/2015,XUT,19.4
11/2/2015,XUT,19.38
11/3/2015,XUT,19.44
11/4/2015,XUT,19.47
11/5/2015,XUT,19.5
11/6/2015,XUT,19.37
11/9/2015,XUT,19.47
11/10/2015,XUT,19.59
11/11/2015,XUT,19.48
11/12/2015,XUT,19.07
11/13/2015,XUT,19.14
11/16/2015,XUT,19.44
11/17/2015,XUT,19.37
11/18/2015,XUT,19.46
11/19/2015,XUT,19.39
11/20/2015,XUT,19.46
11/23/2015,XUT,19.26
11/24/2015,XUT,18.79
11/25/2015,XUT,18.76
11/26/2015,XUT,18.88
11/27/2015,XUT,18.99
11/30/2015,XUT,18.93
12/1/2015,XUT,19.26
12/2/2015,XUT,19.15
12/3/2015,XUT,18.87
12/4/2015,XUT,18.84
12/7/2015,XUT,18.49
12/8/2015,XUT,18.06
12/9/2015,XUT,18.03
12/10/2015,XUT,18.28
12/11/2015,XUT,18.11
12/14/2015,XUT,18.02
12/15/2015,XUT,18.3
12/16/2015,XUT,18.92
12/17/2015,XUT,19.11
12/18/2015,XUT,19.35
12/21/2015,XUT,19.12
12/22/2015,XUT,19.14
12/23/2015,XUT,19.4
12/24/2015,XUT,19.65
12/29/2015,XUT,19.47
12/30/2015,XUT,19.44
12/31/2015,XUT,19.25
1/4/2016,XUT,19.09
1/5/2016,XUT,19.12
1/6/2016,XUT,19.22
1/7/2016,XUT,18.56
1/8/2016,XUT,18.89
1/11/2016,XUT,18.94
1/12/2016,XUT,18.96
1/13/2016,XUT,18.68
1/14/2016,XUT,18.83
1/15/2016,XUT,18.3
1/18/2016,XUT,18
1/19/2016,XUT,18.3
1/20/2016,XUT,18.38
1/21/2016,XUT,18.34
1/22/2016,XUT,19.27
1/25/2016,XUT,18.94
1/26/2016,XUT,19.28
1/27/2016,XUT,19.49
1/28/2016,XUT,20
1/29/2016,XUT,20.3
2/1/2016,XUT,20.2
2/2/2016,XUT,20.22
2/3/2016,XUT,20.46
2/4/2016,XUT,20.6
2/5/2016,XUT,20.68
2/8/2016,XUT,20.67
2/9/2016,XUT,19.86
2/10/2016,XUT,19.4
2/11/2016,XUT,19.06
2/12/2016,XUT,19.14
2/16/2016,XUT,19.42
2/17/2016,XUT,19.93
2/18/2016,XUT,20.04
2/19/2016,XUT,19.91
2/22/2016,XUT,19.95
2/23/2016,XUT,19.75
2/24/2016,XUT,19.64
2/25/2016,XUT,19.64
2/26/2016,XUT,19.35
2/29/2016,XUT,19.33
3/1/2016,XUT,19.8
3/2/2016,XUT,20.04
3/3/2016,XUT,20.09
3/4/2016,XUT,20.18
3/7/2016,XUT,20.4
3/8/2016,XUT,20.63
3/9/2016,XUT,20.65
3/10/2016,XUT,20.51
3/11/2016,XUT,20.58
3/14/2016,XUT,20.46
3/15/2016,XUT,20.4
3/16/2016,XUT,20.32
3/17/2016,XUT,20.42
3/18/2016,XUT,20.15
3/21/2016,XUT,20.43
3/22/2016,XUT,20.61
3/23/2016,XUT,20.58
3/24/2016,XUT,20.38
3/28/2016,XUT,20.53
3/29/2016,XUT,20.68
3/30/2016,XUT,20.8
3/31/2016,XUT,20.9
4/1/2016,XUT,20.97
4/4/2016,XUT,20.95
4/5/2016,XUT,20.89
4/6/2016,XUT,20.65
4/7/2016,XUT,20.59
4/8/2016,XUT,20.67
4/11/2016,XUT,20.53
4/12/2016,XUT,20.46
4/13/2016,XUT,20.54
4/14/2016,XUT,20.51
4/15/2016,XUT,20.59
4/18/2016,XUT,20.72
4/19/2016,XUT,20.76
4/20/2016,XUT,20.63
4/21/2016,XUT,20.48
4/22/2016,XUT,20.34
4/25/2016,XUT,20.3
4/26/2016,XUT,20.21
4/27/2016,XUT,20.58
4/28/2016,XUT,20.75
4/29/2016,XUT,20.6
5/2/2016,XUT,20.85
5/3/2016,XUT,20.92
5/4/2016,XUT,20.93
5/5/2016,XUT,21.07
5/6/2016,XUT,21.07
5/9/2016,XUT,20.98
5/10/2016,XUT,21.19
5/11/2016,XUT,21.34
5/12/2016,XUT,21.42
5/13/2016,XUT,21.27
5/16/2016,XUT,21.31
5/17/2016,XUT,21.21
5/18/2016,XUT,20.99
5/19/2016,XUT,20.97
5/20/2016,XUT,21.15
5/24/2016,XUT,21.16
5/25/2016,XUT,21.1
5/26/2016,XUT,21.16
5/27/2016,XUT,21.27
5/30/2016,XUT,21.25
5/31/2016,XUT,22.38
6/1/2016,XUT,21.38
6/2/2016,XUT,21.44
6/3/2016,XUT,21.6
6/6/2016,XUT,21.62
6/7/2016,XUT,21.62
6/8/2016,XUT,21.83
6/9/2016,XUT,21.77
6/10/2016,XUT,21.71
6/13/2016,XUT,21.71
6/14/2016,XUT,21.66
6/15/2016,XUT,21.58
6/16/2016,XUT,21.5
6/17/2016,XUT,21.25
6/20/2016,XUT,21.44
6/21/2016,XUT,21.47
6/22/2016,XUT,21.43
6/23/2016,XUT,21.3
6/24/2016,XUT,21.58
6/27/2016,XUT,21.57
6/28/2016,XUT,21.65
6/29/2016,XUT,21.89
6/30/2016,XUT,22.12
7/4/2016,XUT,22.23
7/5/2016,XUT,22.47
7/6/2016,XUT,22.72
7/7/2016,XUT,22.5
7/8/2016,XUT,22.39
7/11/2016,XUT,22.58
7/12/2016,XUT,22.55
7/13/2016,XUT,22.52
7/14/2016,XUT,22.43
7/15/2016,XUT,22.35
7/18/2016,XUT,22.44
7/19/2016,XUT,22.53
7/20/2016,XUT,22.55
7/21/2016,XUT,22.61
7/22/2016,XUT,22.72
7/25/2016,XUT,22.7
7/26/2016,XUT,22.61
7/27/2016,XUT,22.42
7/28/2016,XUT,22.62
7/29/2016,XUT,22.62
8/2/2016,XUT,22.6
8/3/2016,XUT,22.59
8/4/2016,XUT,22.65
8/5/2016,XUT,22.69
8/8/2016,XUT,22.61
8/9/2016,XUT,22.52
8/10/2016,XUT,22.42
8/11/2016,XUT,22.46
8/12/2016,XUT,22.38
8/15/2016,XUT,22.33
8/16/2016,XUT,22.22
8/17/2016,XUT,22.33
8/18/2016,XUT,22.42
8/19/2016,XUT,22.31
8/22/2016,XUT,22.53
8/23/2016,XUT,22.4
8/24/2016,XUT,22.32
8/25/2016,XUT,22.38
8/26/2016,XUT,22.18
8/29/2016,XUT,22.3
8/30/2016,XUT,22.01
8/31/2016,XUT,21.94
9/1/2016,XUT,22
9/2/2016,XUT,22.17
9/6/2016,XUT,22.24
9/7/2016,XUT,22.24
9/8/2016,XUT,22.23
9/9/2016,XUT,21.82
9/12/2016,XUT,21.82
9/13/2016,XUT,21.57
9/14/2016,XUT,21.55
9/15/2016,XUT,21.66
9/16/2016,XUT,21.7
9/19/2016,XUT,21.8
9/20/2016,XUT,21.93
9/21/2016,XUT,22.07
9/22/2016,XUT,22.24
9/23/2016,XUT,22.19
9/26/2016,XUT,22.13
9/27/2016,XUT,22.04
9/28/2016,XUT,22.01
9/29/2016,XUT,22.05
9/30/2016,XUT,22.06
10/3/2016,XUT,21.87
10/4/2016,XUT,21.62
10/5/2016,XUT,21.43
10/6/2016,XUT,21.57
10/7/2016,XUT,21.39
10/11/2016,XUT,21.25
10/12/2016,XUT,21.51
10/13/2016,XUT,21.45
10/14/2016,XUT,21.72
10/17/2016,XUT,21.85
10/18/2016,XUT,21.88
10/19/2016,XUT,22.09
10/20/2016,XUT,22
10/21/2016,XUT,22.09
10/24/2016,XUT,22.14
10/25/2016,XUT,22.01
10/26/2016,XUT,22.15
10/27/2016,XUT,22.05
10/28/2016,XUT,22.16
10/31/2016,XUT,22.24
11/1/2016,XUT,22.06
11/2/2016,XUT,21.86
11/3/2016,XUT,21.63
11/4/2016,XUT,21.88
11/7/2016,XUT,21.94
11/8/2016,XUT,21.81
11/9/2016,XUT,21.5
11/10/2016,XUT,20.87
11/11/2016,XUT,20.6
11/14/2016,XUT,20.34
11/15/2016,XUT,20.65
11/16/2016,XUT,20.66
11/17/2016,XUT,20.9
11/18/2016,XUT,20.85
11/21/2016,XUT,20.93
11/22/2016,XUT,20.99
11/23/2016,XUT,21
11/24/2016,XUT,21
11/25/2016,XUT,21.2
11/28/2016,XUT,21.34
11/29/2016,XUT,21.25
11/30/2016,XUT,21.1
12/1/2016,XUT,21.14
12/2/2016,XUT,21.06
12/5/2016,XUT,21.09
12/6/2016,XUT,21.04
12/7/2016,XUT,21.16
12/8/2016,XUT,21.19
12/9/2016,XUT,21.29
12/12/2016,XUT,21.28
12/13/2016,XUT,21.5
12/14/2016,XUT,21.35
12/15/2016,XUT,21.34
12/16/2016,XUT,21.46
12/19/2016,XUT,21.55
12/20/2016,XUT,21.42
12/21/2016,XUT,21.47
12/22/2016,XUT,21.63
